k1, k2, z
21, 23, 16.5
14, 23, 22
21, 16.5, 22
18.5, 24, 13.5
26, 27.5, 33
8, 1, 0
23.5, 21, 28.5
14, 21, 16.5
10.5, 20.5, 25.5
15, 22.5, 18.5
24, 27.5, 34.5
9.5, 18, 0
19.5, 23, 24
11, 1.5, 12
23, 0, 0
25, 23, 17
7.5, 2, 19.5
10.5, 10.5, 0
18.5, 7, 0
13, 5, 3
21.5, 24, 24
20, 22.5, 30
13.5, 18.5, 18
22, 17, 26
20.5, 24.5, 26.5
14.5, 21.5, 19.5
7.5, 17.5, 14.5
0, 11, 11.5
30, 28.5, 39
13, 22.5, 14.5
7.5, 17, 12.5
8, 2, 12
24.5, 24.5, 21
28, 27, 34
18, 27.5, 26
12.5, 14.5, 8.5
13.5, 19.5, 25
15.5, 15.5, 21.5
7.5, 15.5, 21.5
10, 21, 24.5
14, 13, 24
12, 0, 8
19, 19.5, 25.5
8, 0, 0
10.5, 16, 8
26.5, 27, 36.5
14, 17.5, 21.5
29, 27.5, 36.5
11.5, 18, 22.5
16.5, 21, 18
0, 29.5, 35
12, 12, 26
24.5, 26, 25
17, 22, 27
18.5, 21.5, 27
11.5, 18, 20.5
5, 5.5, 17.5
18.5, 21, 14.5
16.5, 22, 31
10.5, 21.5, 19.5
15, 21, 27
13, 23.5, 15
16, 20.5, 20
8.5, 4, 7.5
22.5, 25, 21
16.5, 27.5, 18
29, 28.5, 39.5
15.5, 23.5, 23
17.5, 20.5, 22
16, 25, 20
22, 27.5, 35.5
22.5, 22.5, 29
19, 18.5, 26
10, 13.5, 8.5
30, 26.5, 38.5
18.5, 21, 14
11.5, 4, 4.5
14, 24.5, 20
15.5, 24.5, 25.5
15.5, 18, 26
10, 14.5, 7
16, 15.5, 3
19.5, 27, 27.5
19, 23.5, 15.5
14, 14.5, 15
17.5, 17, 16
18, 10, 16
19.5, 23, 28.5
13.5, 15.5, 11
23, 24, 32
6.5, 3.5, 13
10.5, 13, 11
8.5, 9.5, 9.5
30, 30, 40
15.5, 0, 6.5
17, 20.5, 12.5
15.5, 18.5, 28.5
12.5, 19.5, 13.5
18.5, 20.5, 16.5
22.5, 25.5, 29.5
29, 29.5, 39
26, 27.5, 36.5
9, 3, 4
22, 20, 26.5
18.5, 24, 24.5
22.5, 25.5, 33.5
17, 19, 21.5
27, 29.5, 37
16.5, 27, 26.5
24.5, 26, 34
26.5, 24.5, 32.5
23.5, 27, 33
10, 22, 21.5
17, 17, 17
14.5, 18.5, 12
17, 10.5, 5
12, 13.5, 24.5
8, 3, 12
6.5, 11, 0
7.5, 7, 1.0
22.5, 18, 0
27, 27.5, 30.5
2.5, 0, 0
