k1, k2, z
19, 29, 28
16, 17.5, 22
13.5, 7.5, 24
27, 27, 32
10, 6.5, 15
7, 7.5, 7
26.5, 28, 30.5
9.5, 1.5, 0
24, 28, 37
8, 10.5, 0
13, 12.5, 13.5
10.5, 9.5, 6
8, 12.5, 9.5
10.5, 11.5, 10.5
18, 24.5, 29.5
6.5, 5.5, 4.5
0, 0, 0
13.5, 18, 13.5
14, 13.5, 7
22, 26.5, 33.5
16.5, 17, 17
14, 17.5, 18
4.5, 2, 0
7, 14.5, 10.5
13, 13.5, 8.5
16, 5.5, 19.5
11, 12, 9
9.5, 0, 0
20, 15, 15.5
10.5, 12, 7
2, 0, 0
16.5, 13, 13.5
0, 0, 0
7.5, 13, 8.5
16.5, 15.5, 18.5
15.5, 7, 10.5
11, 11, 13.5
12, 11, 11.5
17.5, 13, 14.5
21, 25, 32
11.5, 12, 10
15, 13.5, 15
19, 19, 29
12.5, 11, 18
16.5, 16.5, 13
11.5, 11, 7.5
13, 5.5, 5
19, 18.5, 15.5
7.5, 4.5, 4.5
14, 13.5, 12.5
15, 17, 13
15, 12.5, 10
16.5, 10, 16.5
14.5, 9.5, 14
13.5, 6, 6.5
24.5, 30, 33.5
20.5, 18.5, 19
14.5, 0, 0
9, 2.5, 8.5
16, 9, 14.5
3.5, 0, 9
5, 6.5, 8.5
19, 17, 15
24, 24, 26.5
10.5, 7, 9
16, 21, 18
10, 19, 26
9, 9.5, 11
12.5, 11.5, 8.5
12, 10.5, 13.5
3, 0, 0
8.5, 10.5, 19
12.5, 9, 0
8.5, 8.5, 13.5
14, 10, 16
29.5, 22, 35.5
10, 0, 0
10.5, 0, 7
12.5, 8.5, 13
10.5, 5, 4.5
9, 15, 14.5
6, 0, 0
8, 0, 0
14, 15.5, 11.5
18, 13.5, 13.5
5, 0, 0
15, 10, 16
7, 6.5, 0
15, 6, 11.5
13.5, 17.5, 23
6.5, 9, 7.5
6.5, 7, 11.5
12.5, 15.5, 20
8, 8, 9
13.5, 10.5, 21
17.5, 8.5, 9
18, 19.5, 21.5
9, 0, 0
6, 0, 0
12, 8.5, 10
11, 18, 8
9.5, 15, 20.5
10, 8, 11.5
23, 21, 22.5
7.5, 7, 15.5
5, 4, 9
10.5, 0, 0
15.5, 10.5, 15.5
8.5, 14.5, 10
11, 22, 28
10, 12.5, 16.5
14.5, 12, 12.5
20.5, 27.5, 33.5
15.5, 25.5, 28.5
9.5, 11.5, 18
8, 0, 0
0, 0, 0
16.5, 15, 18.5
13.5, 11.5, 8
9, 13, 11
14.5, 15.5, 13.5
0, 14, 25.5
7.5, 11.5, 15
4.5, 3, 3
15, 17, 13
13, 15, 13
13, 14, 0
19.5, 16, 30.5
10.5, 8, 4.5
11.5, 15, 18.5
15.5, 18.5, 17
12, 17, 17.5
6.5, 5, 4.5
9, 5.5, 7.5
8.5, 5, 11.5
9.5, 4.5, 4.5
15.5, 11.5, 19
10.5, 8.5, 12
19.5, 12.5, 18.5
8.5, 10, 9.5
16, 18.5, 20
18, 25.5, 28.5
11, 18, 9
9, 6, 4
12.5, 6.5, 6.5
13, 4, 12
18, 19.5, 19.5
6.5, 3.5, 11
28.5, 24.5, 34
20, 26, 31
8, 11, 14
18.5, 20, 29
18.5, 14, 17
18, 16, 28
22, 13.5, 15.5
13, 15, 18
10, 0, 0
1, 2, 0
13.5, 9.5, 12
13, 9, 6
8, 4, 2
8.5, 4, 4.5
9.5, 10, 13.5
9, 8.5, 16
8, 4, 15.5
9.5, 13.5, 8.5
15, 16.5, 22.5
15, 15.5, 10.5
18, 15.5, 17
