k1, k2, z
5, 12.5, 12.5
10, 17, 37
12.5, 21, 34
3, 16, 21
2, 0, 0
13.5, 17.5, 31
11.5, 26, 29.5
8, 23, 29
13.5, 15, 26.5
8.5, 23.5, 33.5
3, 0, 0
26, 30, 0
11, 18, 24.5
2.5, 14, 15.5
6.5, 13, 30.5
2, 9.5, 11.5
1, 8, 10
26.5, 30, 39.5
5.5, 23, 21.5
3.5, 12, 17.5
3, 0, 0
8.5, 10.5, 9
2, 8, 14
17, 25.5, 38.5
20, 22, 34
5, 23.5, 25.5
16.5, 23, 37
11.5, 26.5, 37
10.5, 24, 35.5
11, 22, 32.5
9.5, 16, 22.5
13.5, 15.5, 32
20.5, 25, 34
12, 19, 31.5
4, 25.5, 24
4, 17, 17.5
6.5, 12, 0
7, 15.5, 14
3.5, 13, 17
4, 10, 8.5
7.5, 0, 0
6.5, 13.5, 12
1, 23, 21
8.5, 14, 8.5
6, 15, 17.5
7.5, 23, 22.5
7, 18.5, 31
1, 15, 6
7, 14, 24
17, 21, 34
1.5, 9.5, 6.5
7.5, 24, 32.5
5.5, 14, 21.5
12, 20.5, 29
10, 11.5, 26.5
26.5, 29, 38
16, 29, 37
19, 16, 12
10.5, 12, 18
0, 8.5, 6.5
7.5, 24.5, 20
4.5, 22, 21.5
22, 10.5, 13
11.5, 21, 27.5
7, 10.5, 20.5
11.5, 23.5, 33
6, 10, 15
15.5, 14.5, 12.5
2, 0, 0
9, 17.5, 34
5, 10.5, 9.5
11, 18.5, 23.5
6, 14, 8.5
19, 27.5, 38
26, 30, 40
13.5, 20.5, 16
10, 22.5, 22.5
0, 0.5, 0
4.5, 16, 8
6.5, 12, 21.5
3, 0, 0
21.5, 22, 33.5
10, 10, 15.5
1, 0, 0
8.5, 15.5, 17.5
27.5, 30, 38
12.5, 19, 31
8.5, 25.5, 27
3.5, 18, 25
13, 22.5, 32
7, 10, 6.5
6.5, 27.5, 32.5
1.5, 14, 17
12, 24, 35
10, 16, 19
1, 10, 12
3, 16, 19
16, 26.5, 32.5
15.5, 27, 23
4, 0, 0
13.5, 25.5, 36
16.5, 22, 31
1.5, 13, 7.5
5.5, 14.5, 14
17.5, 28, 27
5.5, 14.5, 19
7, 9.5, 11
19, 25.5, 30.5
5, 14.5, 15.5
15, 22, 35
11, 18, 21
3, 16.5, 22
14.5, 23, 38
10, 20, 27
26.5, 28, 38
8, 11, 22
5, 15, 20
5.5, 18, 28.5
6.5, 19.5, 30.5
12, 14, 22.5
11.5, 20, 28.5
8.5, 23, 26
5, 0, 0
17, 28, 36
4, 19, 24
1.5, 4.5, 10
5, 14, 12.5
