k1, k2, z
2, 21, 14.5
1.5, 0, 0
0, 0, 15
10, 13.5, 20.5
16, 24.5, 26
15, 20, 29
15.5, 27.5, 34
9.5, 20.5, 18
12, 26.5, 27
3.5, 22.5, 19.5
7, 16, 25
13, 22, 21.5
9, 17, 20
12.5, 13.5, 19.5
8, 16, 16
7, 19, 24
7.5, 19, 22.5
9, 27.5, 33
8.5, 17.5, 24.5
10, 21, 23
6, 9.5, 11
1.5, 24.5, 10
0.5, 0, 0
6, 14, 13
8.5, 24.5, 20.5
13.5, 25, 30.5
9.5, 26, 30
14.5, 25.5, 31
5.5, 11.5, 14
7, 18.5, 13.5
10, 18.5, 22.5
7, 22.5, 21
23.5, 29, 34.5
22.5, 27.5, 32
0, 6, 0
10.5, 22.5, 18
14, 23, 26
8, 4, 15.5
21.5, 29, 38.5
14.5, 24.5, 17
20, 26, 28
19.5, 29, 35.5
11.5, 23.5, 30
9, 22.5, 21.5
6.5, 10.5, 14.5
12, 18, 30
10, 19, 26
9, 14.5, 21
0, 1, 0
5.5, 0, 20.5
9.5, 21.5, 14.5
9.5, 23.5, 35
3, 8, 15
8.5, 21.5, 29
19, 23, 23.5
7, 20.5, 21.5
6.5, 15.5, 1
11, 18.5, 22
11, 24, 15
15, 23, 25
0, 7.5, 9
6, 27, 26
5.5, 19, 17
7.5, 22.5, 24.5
3, 0, 0
19, 29.5, 30.5
6.5, 21, 24
7.5, 22.5, 18.5
7.5, 20, 15.5
20.5, 29.5, 35
13, 21.5, 17
20, 27.5, 28
7.2, 18, 15
21, 28.5, 36
12.5, 21.5, 25
5.5, 11, 19
6, 19.5, 20.5
15, 23, 30.5
0, 1.5, 0
3.5, 16.5, 0
15.5, 26.5, 27.5
7.5, 0, 0
6.5, 19, 17.5
13, 23.5, 19.5
6.5, 17, 21.5
3.5, 0, 0
6, 20, 25
22.5, 29, 38
7.5, 18.5, 21
11.5, 23.5, 27
5, 14, 10.5
7.5, 17, 13
10, 17.5, 19.5
16, 28, 31.5
7.5, 16, 16
12.5, 18, 22.5
16, 26, 27
12.5, 23, 26
7.5, 20, 22.5
6, 16.5, 18.5
8, 22.5, 19.5
8, 11.5, 3
26, 29.5, 35
7, 17.5, 17.5
9.5, 23, 26.5
8, 19, 7
27.5, 29.5, 39
0, 12.5, 7
6.5, 25.5, 17
7.5, 25, 26
9, 22.5, 23.5
10, 25, 27.5
8, 22.5, 23
22.5, 29, 35
10, 19.5, 25
19, 27.5, 31
7, 18.5, 18.5
16.5, 29, 34
12, 29, 37.5
8, 16.5, 20.5
3.5, 7, 10.5
10.5, 16, 25.5
15.5, 26.5, 27
9.5, 21, 25.5
17.5, 23.5, 30.5
10, 19.5, 32.5
11.5, 27, 27
9, 25, 19.5
0, 15, 18
20.5, 25, 34
11, 27, 27
6, 10, 9
10.5, 24.5, 26
12, 27, 26
1.5, 0, 0
6.5, 23, 23.5
11, 19.5, 23.5
9.5, 25.5, 29
10.5, 17.5, 31
9.5, 23, 27.5
9.5, 28.5, 32
5, 19, 22.5
10, 19.5, 21
6, 12.5, 11
11, 24, 20
15, 30, 27
3, 0, 0
4.5, 12, 0
9.5, 26.5, 20.5
0, 11, 6.5
12, 23, 32
5, 23.5, 20
4.5, 19, 16.5
11.5, 29, 34.5
8, 27, 30.5
12.5, 21.5, 25
9, 18, 4
9.5, 11.5, 16.5
6.5, 21, 25.5
18.5, 29.5, 35.5
0, 18.5, 22
13, 27, 15.5
10.5, 23.5, 18
4, 15.5, 4.5
6.5, 18.5, 2.5
7.5, 15.5, 15.5
23.5, 29, 36
11, 16.5, 21.5
10.5, 19.5, 20.5
4.5, 13.5, 9
2.5, 16.5, 4.5
10.5, 27, 24.5
20, 28, 36
10.5, 21, 19
8.5, 24, 16
7, 27.5, 24.5
10.5, 24, 26
7.5, 14, 13
2.5, 7.5, 10.5
