k1, k2, z
4, 16, 11
14, 20, 31
15, 22, 23
20, 19, 11
28, 30, 38
17, 27, 29
16, 26, 27
0, 3, 0
10, 21, 17
7, 11, 7
20, 27, 29
10, 16, 22
21, 28, 12
5, 9, 10
4, 17, 16
18, 27, 27
10, 10, 16
21, 14, 15
12, 21, 19
16, 22, 24
4, 5, 0
13, 23, 19
11, 18, 20
19, 22, 23
6, 19, 20
7, 17, 21
2, 4, 0
8, 15, 13
20, 24, 34
18, 16, 16
20, 25, 36
9, 22, 11
3, 11.5, 11
23, 23, 30
19, 22, 23
4, 0, 0
12, 14, 25
15, 20, 23
16, 23, 26
20, 28, 31
12, 0, 0
6, 22, 13
9, 20, 22
11, 2, 6
14, 24, 23
16, 18, 26
18, 21, 28
7, 17, 17
14, 15, 22
1, 0, 0
18, 22, 27
7, 17, 20
15, 21, 14
14, 25, 33
18, 18, 32
3, 0, 0
4, 14, 0
11, 18, 25
22, 23, 19
20, 25, 26
10, 21, 27
21, 27, 33
6, 15, 7
9, 22, 30
7, 18, 14
14, 22, 27
14, 19, 17
13, 21, 26
16, 24, 28
13, 15, 17
9, 21, 20
17, 27, 27
18, 23, 29
6, 20, 15
17, 23, 19
8, 18, 10
13, 22, 28
13, 24, 16
21, 26, 28
5, 18, 14
10, 19, 17
7, 18, 15
8, 7, 1
11, 25, 24
17, 24, 21
27, 30, 40
7, 1, 0
6, 9, 15
11, 21, 29
16, 22, 16
18, 24, 25
19, 20, 25
0, 6, 11
20, 26, 39
13, 17, 21
11, 26, 26
6, 0, 0
23, 29, 27
14, 17, 14
7, 0, 10
10, 14, 22
27, 28, 37
20, 27, 31
8, 18, 24
22, 29, 35
15, 25, 29
3, 7, 0
10, 16, 28
15, 16, 25
6, 3, 6
10, 23, 27
13, 18, 21
0, 14, 12
15, 24, 25
9, 7, 13
4, 0, 0
12, 18, 22
6, 16, 11
14, 22, 22
16, 22, 22
8, 18, 24
24, 26, 35
29, 30, 37
10, 19, 11
3, 16, 16
15, 24, 27
14, 22, 29
6, 14, 13
9, 7, 10
3, 3, 0
4, 0, 0
2, 9, 25
17, 28, 37
16, 24, 29
6, 11, 12
3, 12.5, 8
17, 26, 27
17, 24, 23
16, 25, 28
7, 15, 28
2, 18, 18
2, 4, 17
13, 22, 28
0, 11, 12
6, 15, 22
28, 30, 37
