k1, k2, z
2, 0, 0
26, 19, 35
21, 19, 31
16, 11, 23
26, 23, 36
25, 28, 37
25, 24, 36
20, 21, 28
23, 16, 23
9, 11, 23
12, 13, 20
9, 8, 22
28, 27, 35
12, 19, 26
14, 10, 26
5, 10, 18
27, 26, 38
22, 19, 34
21, 22, 34
7, 8, 20
17, 18, 30
24, 15, 22
13, 11, 28
8, 8, 16
16, 8, 26
9, 16, 17
8, 6, 6
7, 7, 11
18, 10, 22
2, 10, 15
14, 12, 24
14, 0, 15
10, 9, 15
16, 11, 32
26, 28, 33
15, 21, 23
21, 22, 35
4, 0, 0
13, 15, 26
3, 5, 21
0, 7, 18
16, 10, 14
24, 15, 24
13, 5, 15
18, 11, 24
24, 15, 25
15, 13, 8
16, 16, 23
10, 10, 13
25, 26, 39
20, 16, 34
16, 12, 28
19, 21, 25
22, 15, 28
25, 19, 35
21, 17, 30
19, 15, 29
8, 3, 0
15, 17, 23
16, 14, 15
23, 20, 21
17, 20, 30
0, 0, 2
9, 0, 15
30, 30, 38
15, 14, 32
16, 14, 24
16, 14, 31
18, 13, 24
23, 15, 24
20, 7, 18
12, 11, 21
22, 16, 32
18, 11, 29
16, 14, 27
10, 15, 25
15, 19, 26
13, 14, 24
15, 13, 17
10, 12, 9
17, 19, 28
13, 9, 5
18, 14, 23
16, 16, 24
18, 18, 30
15, 9, 16
9, 18, 23
21, 20, 29
17, 5, 13
20, 7, 23
14, 12, 25
17, 12, 27
10, 2, 14
23, 26, 38
21, 26, 31
6, 12, 11
13, 10, 27
7, 12, 22
13, 9, 16
10, 12, 16
15, 13, 29
20, 22, 29
13, 14, 24
19, 12, 26
15, 14, 10
13, 13, 22
9, 10, 20
8, 8, 14
30, 27, 40
9, 11, 11
15, 18, 28
16, 19, 30
18, 19, 26
22, 13, 25
16, 16, 18
23, 20, 29
20, 17, 18
18, 18, 29
25, 21, 29
22, 14, 31
17, 14, 26
15, 18, 26
17, 16, 27
10, 17, 26
20, 19, 25
17, 16, 23
11, 8, 16
18, 28, 32
24, 23, 38
12, 15, 23
23, 24, 36
20, 14, 32
12, 19, 28
22, 22, 26
22, 13, 27
16, 14, 23
17, 14, 30
15, 17, 26
13, 11, 23
10, 13, 20
13, 15, 27
19, 21, 23
9, 12, 17
26, 23, 33
