k1, k2, z
30, 26.5, 40
28.5, 23.5, 39
28, 26.5, 34.5
19.5, 30, 38.5
24, 26, 36
26.5, 24, 33.5
21, 23, 39
21, 28, 33.5
21.5, 21.5, 37.5
21, 23.5, 35.5
20, 27, 32
24, 22.5, 32
27, 20, 30.5
20.5, 20, 37
19.5, 23.5, 34.5
27, 23, 27
19.5, 26.5, 31
23, 22, 32
23.5, 21.5, 31.5
19.5, 23, 30.5
13, 24, 35.5
20.5, 22, 29.5
24.5, 12.5, 33
13.5, 23, 33.5
17.5, 16, 34
15.5, 18, 32.5
16.5, 18.5, 30.5
19, 13.5, 33
14, 19.5, 31.5
17, 18.5, 29.5
19, 17.5, 27
24, 16.5, 23
18, 13, 30
17, 18.5, 27
20.5, 19, 23
18, 13, 31
19, 9, 33.5
18.5, 13, 30
18, 17.5, 26
11, 21.5, 29
14, 21, 26
17.5, 19.5, 24
16.5, 16.5, 27.5
9.5, 17, 34
18.5, 11.5, 30.5
12, 18, 30
22, 10.5, 27
21.5, 12, 26
13, 21, 25
12, 20, 27
14, 11.5, 33.5
16, 15.5, 27
11, 17.5, 29.5
14.5, 11, 32.5
10, 15.5, 32
12, 15, 30.5
15, 16, 26
21, 14, 22
13.5, 13.5, 29
19, 14, 23
16.5, 15, 24.5
10, 13.5, 32.5
6.5, 15.5, 32.5
15.5, 13.5, 25.5
16, 9, 29
11.5, 12.5, 30
16, 16, 22
15.5, 18, 20.5
8, 15.5, 30
11.5, 15.5, 26
15, 15, 23
19, 11, 23
13, 19.5, 20
13, 13.5, 25.5
24.5, 12, 15.5
15, 8.5, 28.5
10, 16.5, 25
10, 15.5, 26
12, 16.5, 22.5
10.5, 12.5, 28
16.5, 9.5, 25
15.5, 8.5, 27
19, 13.5, 18
13, 17.5, 20
10, 13.5, 27
11, 10, 29
17, 10, 23
11, 13, 26
11.5, 13.5, 25
11.5, 10, 28
11.5, 12, 26
11.5, 14.5, 23
15.5, 12.5, 21
10, 15, 24
12, 10.5, 26
13.5, 7, 28
13, 13, 22
8, 14, 26
17, 13, 18
16, 9, 23
16, 14.5, 17
18.5, 5.5, 23
11.5, 17.5, 18
17.5, 15, 14
9.5, 13.5, 23.5
12, 13.5, 21
7, 13, 26
14, 14.5, 17
10, 12.5, 22.5
8, 15, 22
17.5, 7, 20.5
13, 8.5, 23.5
12.5, 12, 20.5
10, 13.5, 21.5
13, 14, 17
15.5, 12, 16
7.5, 16, 20
12, 14.5, 17
9, 10.5, 24
11.5, 9.5, 22
12.5, 6, 24.5
11.5, 12.5, 18.5
11.5, 11, 20
13, 13.5, 15.5
11.5, 16, 14
6.5, 16, 19
8.5, 18.5, 14
13.5, 9.5, 18
8.5, 9.5, 23
13, 8, 20
13.5, 9, 17
8, 10.5, 21
11, 8.5, 19
11, 8, 19
8.5, 12.5, 16.5
7, 5, 25
8, 12, 17
9.5, 9, 18
14, 5.5, 17
4, 10, 22.5
13.5, 11.5, 10
5, 9.5, 20.5
9, 8, 18
12.5, 0, 22
11.5, 10.5, 12
14, 4, 16
10, 7.5, 16
11.5, 0, 21
11, 6.5, 15
6, 8, 17.5
3.5, 9.5, 18
10, 10, 11
6, 11, 13
5, 7, 17
2.5, 7, 18.5
10.5, 1, 13
6.5, 2, 15.5
12.5, 10, 0
7, 12, 3
4, 4.5, 12.5
13, 7.5, 0
7, 7.5, 3
9.5, 1.5, 6
3.5, 7.5, 6
10.5, 5, 1
5.5, 8.5, 0
5.5, 6, 0
9, 0, 0
4, 4, 0
7, 0, 0
5.5, 0, 0
5, 0, 0
4.5, 0, 0
3.5, 0, 0
3, 0, 0
