k1, k2, z
14, 21.5, 29
18, 15.5, 22
14.5, 9, 22.5
16.5, 15, 16.5
1, 3, 4
15, 13, 23.5
13.5, 15, 11
13.5, 13.5, 25.5
6.5, 10.5, 24
18, 18.5, 23
9, 8.5, 9
15.5, 20.5, 29
10, 8, 17
11, 14.5, 26
20, 30, 33
12.5, 10.5, 22.5
22, 22, 20.5
27, 22, 36
13.5, 17, 22
14, 12, 24.5
9.5, 7, 20
8.5, 13.5, 21
16, 14, 15
5.5, 8, 1.5
9, 9, 20.5
22, 26.5, 33.5
14.5, 13.5, 24.5
16.5, 8.5, 16.5
10.5, 9.5, 23
10, 9.5, 21
14, 16, 26.5
15, 4.5, 10
22.5, 20, 31.5
13.5, 16, 23.5
17, 13, 12
18.5, 9.5, 29
7, 11, 15.5
9.5, 11.5, 15.5
13, 10, 14
6.5, 7, 12
15, 3, 21.5
21, 18, 28
13.5, 8, 21.5
19, 12, 23
13, 12, 24
6.5, 6.5, 18
5.5, 13, 27
7, 3, 15.5
14, 9, 22
10, 15, 21.5
15, 14, 26.5
6.5, 0, 0
15.5, 13.5, 23
15.5, 8.5, 25.5
10.5, 8.5, 18
21, 15.5, 25.5
15, 13.5, 16.5
9, 12, 9
13.5, 21.5, 22
11, 12.5, 11.5
0, 8, 12
26.5, 14.5, 34.5
15, 9, 21
19.5, 17.5, 37.5
22, 24.5, 31
27, 25.5, 40
13.5, 10, 18
19.5, 17, 28
10, 10.5, 26.5
16.5, 18.5, 32.5
21.5, 24, 30.5
20, 22, 36
11.5, 11.5, 27.5
20.5, 16, 18.5
4, 5, 0
8.5, 12, 26
11, 10.5, 11
14, 13, 27
20, 26, 35
14, 11.5, 19.5
3.5, 7.5, 13.5
2, 0, 0
11.5, 8.5, 20.5
11.5, 5, 15
15.5, 15.5, 26
12.5, 9, 19.5
29, 25.5, 37
10.5, 11, 21
6.5, 4, 12
14, 8, 10.5
3, 9.5, 17.5
12.5, 22.5, 27
13, 11, 17.5
27.5, 26, 37
3.5, 10.5, 14
10.5, 7.5, 12
4, 0, 0
13.5, 8.5, 16.5
13.5, 8.5, 19
2.5, 0, 0
10, 9.5, 16
5, 9.5, 14.5
28, 14, 32
10.5, 11, 19
15, 12, 18
14.5, 10, 22.5
5, 7, 8
16.5, 6.5, 24.5
15, 17.5, 23.5
17.5, 27.5, 25
21, 22, 32.5
25.5, 26, 34
14.5, 10.5, 21
18.5, 14, 22.5
4, 12.5, 19
12.5, 15.5, 13
7.5, 7.5, 8.5
13, 12.5, 22
10.5, 9.5, 19.5
15.5, 13, 22.5
15, 11.5, 24.5
15.5, 12, 17.5
15, 14.5, 15.5
12, 13.5, 14
13.5, 10, 15.5
12, 10.5, 15
10, 6, 10.5
16, 11.5, 17.5
3, 3.5, 12
11, 10.5, 13
9, 3.5, 9
17, 12.5, 17
6.5, 14, 17
10.5, 6, 0
