k1
19
12
18
13
19
2
5
23
13
12
4
16
0
2
12
11
15
9
0
17
4
16
10
8
10
11
13
9
8
11
8
8
18
17
10
16
10
9
20
10
8
17
20
7
16
13
15
16
13
12
8
20
11
8
13
18
13
12
20
16
15
7
11
13
10
9
19
7
2
9
15
18
12
18
20
4
9
16
20
14
11
3
18
9
12
9
29
18
23
11
18
23
20
14
8
27
27
20
25
13
16
5
12
15
22
16
27
8
24
19
12
13
10
24
18
14
11
19
7
26
17
15
21
30
25
23
20
23
10
12
15
9
21
21
7
19
18
11
11
9
9
