k1, k2, z
29, 21.5, 33
10, 13.5, 17
8.5, 15.5, 13.5
5, 5, 8
24, 21, 33.5
9.5, 12.5, 6
11.5, 16, 25
7, 0, 4
10.5, 6.5, 1.5
10.5, 0, 0
21.5, 12.5, 8.5
12.5, 11.5, 8.5
11, 12, 14
13, 15, 18
14.5, 13.5, 18.5
0, 4.5, 11.5
8, 13.5, 6
12, 14.5, 15.5
12.5, 14, 18.5
9.5, 10, 12
14.5, 11, 24.5
10.5, 8.5, 13
20.5, 16.5, 32.5
5.5, 4, 4.5
17, 17, 25
14.5, 14, 25.5
0, 17, 17.5
14.5, 11, 14
11, 14.5, 19
12.5, 16.5, 26.5
14.5, 16, 19.5
20.5, 19, 31.5
16.5, 14.5, 23.5
1.5, 0, 0
12.5, 9, 6.5
18.5, 24, 34.5
0, 7, 0.5
11.5, 8, 5.5
20.5, 18.5, 19.5
14, 13, 21
14.5, 14, 22
17, 21, 31
16, 13, 22.5
15, 14.5, 22
6.5, 13.5, 18
20, 17.5, 22.5
13, 18.5, 24
7, 0, 18
15.5, 16.5, 24
12, 14, 16
14, 15, 19.5
18, 15.5, 28.5
15, 16.5, 20
22, 20, 20
25, 28, 33.5
19.5, 22.5, 0
14, 18, 23
14.5, 16.5, 15.5
10.5, 13, 13
11.5, 4, 2.5
12, 17, 26
18.5, 17.5, 24
5.5, 2, 0
16, 16, 21
17, 16, 14
19.5, 16.5, 29
6, 8.5, 3.5
16, 15, 34
13, 15, 27
10, 6, 12
19.5, 17, 31
4, 9, 0
18, 18.5, 35
4, 10, 18
11, 8.5, 0
10, 15, 13
0, 10, 0
20, 18.5, 32
12, 6, 5
11, 14, 15
22, 17.5, 19.5
18, 18, 21
8.5, 11, 8
11.5, 10.5, 0
18, 16.5, 16
14.5, 16, 24
9, 15.5, 19
5.5, 9.5, 17.5
22, 22, 31.5
11, 14, 13.5
18, 15, 17.5
20.5, 12.5, 19
12.5, 14.5, 21.5
29, 22.5, 39
17, 13.5, 14.5
7.5, 15, 8
15.5, 11, 18
12, 0, 0
20.5, 17, 24.5
20, 21.5, 32.5
24, 22, 35
13, 13, 0
26.5, 25, 35.5
20.5, 20.5, 32.5
21.5, 20.5, 24.5
25.5, 18, 29
7.5, 7.5, 3.5
9.5, 0, 0
29, 29.5, 38
11, 15, 18
17.5, 15.5, 22.5
10.5, 11.5, 0
0, 23.5, 23.5
14, 9.5, 4.5
14, 14, 14.5
9, 9.5, 10
9.5, 10, 5
11.5, 13.5, 12.5
30, 22, 37.5
17.5, 15, 20
29, 30, 38.5
17, 17, 26
19.5, 18, 32
22.5, 22, 26.5
9.5, 11.5, 10.5
14.5, 12.5, 21.5
16.5, 10.5, 23.5
17.5, 14, 26.5
16, 9, 21.5
17, 21.5, 25
15.5, 11.5, 18.5
12.5, 12, 12.5
25, 24, 36.5
10.5, 16, 16
14.5, 14.5, 26
18.5, 22, 35
14, 16, 18.5
20.5, 17.5, 17.5
18, 15.5, 26
9.5, 5.5, 6.5
12.5, 18, 12.5
15, 15, 28.5
8, 10, 20
27, 27, 36
